id,vendor_id,short_description,long_description,primary_image,detail_images,status,tags,created_at,updated_at,deleted_at,name_id,sorting_level,approved,stock_alert,weight,require_variation,explainer_video,commission,stock_tracking_time
09d44732-6be6-4e44-bef3-dfd73f03c3db,7,"Mango, known for its tropical sweetness, is a refreshing addition to any meal.","Mango, known for its tropical sweetness, is a refreshing addition to any meal. With its juicy texture and vibrant flavor, mango offers 
a delicious taste of the tropics. Enjoy it as a snack, in salads, or blended into smoothies for a refreshing treat.",product/287e1409-1749-4e99-802b-e1082022e0fc.jpg,['product/ff28cc2f-ff73-48b1-afa6-51d73b7efdfa.jpg'],INACTIVE,[],2024-07-16,2024-08-07,,f119e3cc-1b27-49f3-b34c-dfb1b3e8616f,6,APPROVED,5,0.0,False,,0.0,
305ec222-570d-481f-9e79-9fd58a5a39e4,3,"Zagol Cheese offers quality cheese made from milk and dairy products, backed by over seven years of expertise. Taste the difference!","Zagol Cheese offers quality cheese made from milk and dairy products, backed by over seven years of expertise. Taste the difference!",product/0123ebe1-835b-449b-ac75-87072aa1a17d.png,['product/41cbdd1a-bb58-46f5-ba04-d933eaae301c.png'],ACTIVE,"['#Cheese', '#Zagol', '#Dairy']",2024-10-25,2024-10-25,,795523f5-7252-47d7-8fde-d77a1afbc982,375,PENDING,20,0.0,False,,0.0,
5e649564-4e5d-4368-b6e3-548ab635ae8c,7,"Avocados are prized for their creamy texture and rich, buttery taste. Versatile in both savory and sweet dishes.","Avocados are prized for their creamy texture and rich, buttery taste. Versatile in both savory and sweet dishes.",product/155f9700-3cd6-42ff-b9e4-65c545281cbd.png,['product/5efc54e6-f667-4f56-abd7-dd3cf9ccc175.png'],INACTIVE,[],2024-08-21,2024-08-27,,54ace3c3-5d36-41cb-acdc-42d7becc11df,6,APPROVED,300,0.0,False,,0.0,
b494e915-fbce-4360-82a1-16bb9410c45d,5,Elsa kolo 500gm,Elsa kolo 500gm,product/63713860-1366-4910-ae1c-8cab1a6550e6.jpg,['product/1d35948f-e1b1-4641-a9bb-db87489d661e.jpg'],INACTIVE,[],2024-06-28,2024-08-19,,5295a604-994b-4790-92a1-bee1527e238a,39,APPROVED,10,0.5,False,,0.0,
507c4aab-f92e-45d8-a9f1-34f192ee410e,9,Sunsilk conditioner is a hair care product that is applied after washing hair to make it softer. ,Sunsilk conditioner is a hair care product that is applied after washing hair to make it softer. ,product/b5eb4ee4-0da1-4a0a-9b37-1acaf50cf28d.png,['product/836800d9-fbf9-48f7-97e2-e2f17e30eb24.png'],INACTIVE,"['#sunsilk ', '#personal care ']",2024-08-09,2024-09-13,,457afa11-c981-4960-9052-4273d3ca049f,72,APPROVED,1,0.0,False,,0.0,
8f19a10f-935f-4b3c-b56c-39c1a4c106bb,7,"A banana is an elongated, edible fruit – botanically a berry – produced by several kinds of large herbaceous flowering plants in the genus Musa.","A banana is a curved, yellow fruit with a thick skin and soft sweet flesh. ",product/7a0d7cba-ad46-4712-9dc9-97a7726a8119.png,['product/55b29c77-b7be-45b3-92dc-622887cc320e.png'],INACTIVE,[],2023-11-14,2024-04-12,,cce8557c-744f-4ef3-9420-7849105b751e,38,APPROVED,10,0.0,False,,0.0,
92214bfc-09de-48de-8304-6fe18c85b345,9,"Peanut butter is a food paste or spread made from ground, dry-roasted peanuts. It commonly contains additional ingredients that modify the taste or texture, such as salt, sweeteners, or emulsifiers.","Peanut butter is made from ground peanuts that have been roasted. Sugar, salt (sodium), oils (fat) and additives that prevent separation may also be added.",product/1441975e-6d3a-4efe-93f0-428e8dbb825b.png,"['product/43b916dd-0e11-4c03-ac1c-8e8e14ee1432.png', 'product/4403a921-0884-497a-bae7-1c259b4c4b3a.png']",INACTIVE,"['Peanut Butter ', 'Protein ', 'Healthy ']",2024-03-13,2024-08-01,,47cbef3a-90cf-46bc-8a4e-a93bcf2fb025,35,APPROVED,10,0.0,False,product_video/tesfayep.mp4,0.0,
0f8b7023-75c7-46cc-a1ba-67c3ddb36be4,7,"The avocado is a medium-sized, evergreen tree in the laurel family. It is native to the Americas and was first domesticated in Mesoamerica more than 5,000 years ago. Then as now it was prized for its large and unusually oily","The avocado is a medium-sized, evergreen tree in the laurel family. It is native to the Americas and was first domesticated in Mesoamerica more than 5,000 years ago. Then as now it was prized for its large and unusually oily",product/6ec92ffe-5163-4683-ba4a-7074f09ef6d0.png,['product/94027919-d5b7-4618-9415-0759e97f3b75.png'],INACTIVE,['Avocado'],2023-10-12,2024-03-19,,45f79649-b536-477e-80da-b511c14ff0c8,41,APPROVED,10,0.0,False,,0.0,
7693e69a-58b9-4a90-83aa-ff905ffea752,1,"start your morning with Fenet grinded coffee orginated from the home of coffee 'Jimma' 
","start your morning with Fenet grinded coffee orginated from the home of coffee 'Jimma' 
",product/ceeea051-cd98-406d-bbdf-8a334a02c6e2.png,['product/4b9396bf-8420-4f21-b84b-34947514ccd1.png'],ACTIVE,"['#Coffee', '#Ethiopiancoffee', '#Jimma']",2024-10-17,2024-10-22,,61e02158-75d2-4c72-9c9d-a367ad6a7f97,56,APPROVED,20,0.0,False,,5.0,
308fdb56-2367-4121-a903-b1b69c9bf03a,5,Roll laudery powder 500gm,Roll laudery powder 500gm,product/fbc3746d-8edd-4c26-adad-4955a5a21277.jpg,['product/44e2ff52-41c3-42b7-a089-c2c5e1a87714.jpg'],ACTIVE,[],2024-06-28,2024-10-16,,6af36347-3fde-4d3f-bd46-63eb5cdfee64,72,APPROVED,15,0.5,False,,0.0,
